pmid,title,year,journal,n_authors,authors,affiliations,primary_country,primary_region,all_countries
41927240,Impact of aromatherapy neck massage on resting cardiovascular parameters in patients with chronic kidney disease and secondary hypertension: A self-controlled study.,2026,Journal of bodywork and movement therapies,6,Deepa Y; Vijay A; Padmavathi K; Bhamini A S; Nithya Sree R,"Department of Manipulative Therapy, Government Yoga and Naturopathy Medical College, Chennai, Tamilnadu, India. Electronic address: sakshaayaan@gmail.com. | Department of Naturopathy, Government Yoga and Naturopathy Medical College, Chennai, Tamilnadu, India. Electronic address: drvjarbnys@gmail.com. | CRRI, Government Yoga and Naturopathy Medical College, Chennai, Tamilnadu, India. Electronic address: padmaasrika@gmail.com.",India. Electronic address:,Global South,India. Electronic address:; India
41914613,Postoperative infusion of dexmedetomidine for the prevention of postoperative delirium in elderly patients undergoing lung surgery: A randomized controlled trial.,2026,International journal of clinical pharmacology and therapeutics,5,Li Fujing; Zhang Weizhou; Huo Jian; Cheng Liming; Zhao Rui,,Unknown,Unknown,
41875307,Wrist-type home blood pressure monitoring device improves usability and preserves sleep quality compared with conventional ambulatory monitoring.,2026,Journal of hypertension,5,Vermeer Cornelia J C; Van den Dries Carline J; Hollander Monika; Geersing Geert-Jan; Rutten Frans H,"Department of General Practice & Nursing Science, Julius Centre for Health Sciences and Primary Care, University Medical Centre Utrecht (UMCU), Utrecht University, Utrecht. | Department of Cardiovascular and Metabolic Health, Amsterdam University Medical Centre (AUMC), Amsterdam, The Netherlands.",Utrecht,Unknown,Utrecht; The Netherlands
41860168,Patient-profiled treatment responses in a large hypertension trial: a posthoc analysis of the INSIGHT study.,2026,Journal of hypertension,6,De Leeuw Peter W; Mancia Giuseppe; Palmer Chris R; Ruilope Luis M; Schalm Solko W,"Department of Medicine, Maastricht University Medical Center and Cardiovascular Research Institute Maastricht (CARIM), Maastricht, The Netherlands. | University Milano Bicocca, Milan, Italy. | Formerly Centre for Applied Medical Statistics, Department of Public Health and Primary Care, University of Cambridge, UK.",The Netherlands,Global North,The Netherlands; Italy; United Kingdom; Spain; Charterhouse Square
41670421,Effects of 20 weeks of different power training protocols involving exercises with elastic bands on cardiovascular health in hypertensive young-old adults.,2026,Blood pressure monitoring,11,Bavaresco Gambassi Bruno; Grijó Viana Davi; Macieira Eduardo; Bianco Roberto; Chaves Luiz Filipe,"Laboratory of Education and Research in Exercise and Cardiovascular Health in Older Adults, Department of Physical Education. | Ceuma University. | Postgraduate Program in Management and Health Care, Ceuma University.",Department of Physical Education,Unknown,Department of Physical Education; Ceuma University; Maranhão; Latin America and the Caribbean; Brazil
41503713,Ambulatory blood pressure and pulse rate patterns in acute coronary syndrome patients underwent percutaneous coronary intervention.,2026,Blood pressure monitoring,8,Leowattana Tawithep; Phoopattana Supamongkol; Sricholwattana Suchat; Krisnangkura Pakawat; Wongsoasu Arthit,"Department of Medicine, Faculty of Medicine. | Division of Cardiovascular Medicine, Department of Medicine, Faculty of Medicine, HRH Princess Maha Chakri Sirindhorn Medical Center, Srinakharinwirot University, Nakhon Nayok, Thailand.",Faculty of Medicine,Unknown,Faculty of Medicine; Thailand
41484570,"Adjuvant anlotinib plus TACE in hepatocellular carcinoma with postoperative high-risk recurrence: a single-arm, multi-center, phase II study.",2026,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,10,Wang Zheng; Zhang Lei; Zheng Xin; Zhang Dong; Yang Xue,"Department of Hepatobiliary Surgery, First Affiliated Hospital of Xi'an Jiaotong University, 277 West Yanta Road, Yanta District, Xi'an, 710061, Shaanxi Province, China. | Department of General Surgery, The First Hospital of Lanzhou University, Lanzhou, China. | Department of Hepatobiliary Surgery, First Affiliated Hospital of Xi'an Jiaotong University, 277 West Yanta Road, Yanta District, Xi'an, 710061, Shaanxi Province, China. woogcp@126.com.",China,Global South,China
41905242,Aflibercept and 5-FU vs. FOLFOX as 1st line treatment for older adults or frail elderly patients with metastatic colorectal cancer - The randomized phase 2 AIO / IKF ELDERLY trial (AIO-KRK-0117 / IKF 629).,2026,"European journal of cancer (Oxford, England : 1990)",18,Hofheinz Ralf-Dieter; Weikersthal Ludwig Fischer von; Dechow Tobias; Depenbusch Reinhard; Müller Christian,"Mannheim Cancer Center, Universitätsmedizin Mannheim, Mannheim, Germany. Electronic address: ralf.hofheinz@umm.de. | MVZ-Praxis für Hämatologie und Internistische Onkologie, Amberg, Germany. | Gemeinschaftspraxis für Hämatologie und Onkologie, Ravensburg, Germany.",Germany. Electronic address:,Global North,Germany. Electronic address:; Germany
41557471,Association between single-pill combination therapy use and blood pressure control in the Systolic Blood Pressure Reduction Intervention Trial: a post hoc analysis.,2026,European journal of preventive cardiology,11,Rao Shreya; Segar Matthew W; Keshvani Neil; Soni Suha; Agarwal Anubha,"Division of Cardiology, Department of Internal Medicine, UT Health Sciences Center San Antonio, San Antonio, TX, USA. | Department of Cardiology, Texas Heart Institute, Houston, TX, USA. | Baylor Scott and White Research Institute, Dallas, TX, USA.",USA,Global North,USA; Australia
40796327,Effect of intensive blood pressure control in patients with resistant hypertension: insights from the STEP trial.,2026,European journal of preventive cardiology,5,Dong Xilan; Bai Jingjing; Ling Qianhui; Zhao Xueyan; Cai Jun,"Hypertension Center, Fuwai Hospital, State Key Laboratory of Cardiovascular Disease of China, National Center for Cardiovascular Diseases of China, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China. | Beijing Anzhen Hospital, Capital Medical University, Beijing Institute of Heart, Lung and Blood Vessel Diseases, Chinese Institutes for Medical Research, Beijing 100013, China. | Fuwai Hospital, State Key Laboratory of Cardiovascular Disease, National Center for Cardiovascular Diseases of China, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Global South,China
40273398,Targeting better hypertension control with the usage of the ESH smartphone application.,2026,European journal of preventive cardiology,12,Konstantinidis Dimitrios; Siafi Eirini; Iliakis Panagiotis; Mihas Costas; Tatakis Fotis,"First Department of Cardiology, School of Medicine, National and Kapodistrian University of Athens, Hippokration General Hospital, Vasilissis Sofias 108, 115 27 Athens, Greece. | Cardiovascular Prevention and Research Unit, Clinic and Laboratory of Pathophysiology, Department of Medicine, School of Health Sciences, National and Kapodistrian University of Athens, Athens, Greece. | Hypertension Center STRIDE-7, School of Medicine, Third Department of Medicine, National and Kapodistrian University of Athens, Sotiria Hospital, Athens, Greece.",Greece,Global North,Greece; Italy
42127005,Health related quality of life among hypertensive adults living in rural Vietnam: Results from a cluster-randomised controlled trial.,2026,PloS one,16,Nguyen Cuc T T; Challagonda Jahnavi; Ha Tung S; Nguyen Nhi D; Nguyen Huong T T,"Health Strategy and Policy Institute, Hanoi, Vietnam. | Hanoi Medical University, Hanoi, Vietnam. | UMass Chan Medical School, Worcester, Massachusetts, United States of America.",Vietnam,Global South,Vietnam; USA
41949524,Blood Pressure Trajectories and Cardiovascular Outcomes in Older Patients: Insights From the STEP Trial.,2026,Journal of the American College of Cardiology,7,Peng Xinyi; Song Qirui; Bai Jingjing; Liu Yang; Cui Feipeng,"Hypertension Center, Beijing Anzhen Hospital, Capital Medical University, Beijing Institute of Heart, Lung and Blood Vessel Diseases, Beijing, China. | Hypertension Center, Beijing Anzhen Hospital, Capital Medical University, Beijing Institute of Heart, Lung and Blood Vessel Diseases, Beijing, China; Hypertension Center, Fuwai Hospital, State Key Laboratory of Cardiovascular Disease of China, National Center for Cardiovascular Diseases of China, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China. | Department of Epidemiology and Biostatistics, School of Public Health, Peking University, Beijing, China.",China,Global South,China; China. Electronic address:
41949512,Efficacy of Tonlamarsen in Patients With Uncontrolled Hypertension: The KARDINAL Phase 2 Randomized Clinical Trial.,2026,Journal of the American College of Cardiology,20,Laffin Luke J; Wang Qiuqing; Sarraju Ashish; Touyz Rhian M; Schlaich Markus P,"Section of Preventive Cardiology and Rehabilitation, Department of Cardiovascular Medicine, Cleveland Clinic Foundation, Cleveland, Ohio, USA; Cleveland Clinic Coordinating Center for Clinical Research, Cleveland, Ohio, USA. | Cleveland Clinic Coordinating Center for Clinical Research, Cleveland, Ohio, USA. | Research Institute of the McGill University Health Centre, McGill University, Montréal, Québec, Canada.",USA,Global North,USA; Canada; Australia; Switzerland
41920135,Achieving Intensive Blood Pressure Control in High-Risk Patients: Implementation Insights From the ESPRIT Trial.,2026,Journal of the American College of Cardiology,25,Peng Yue; Li Yan; Li Shitian; Zhang Liping; Zhao Lingshan,"National Clinical Research Center for Cardiovascular Diseases, State Key Laboratory of Cardiovascular Disease, NHC Key Laboratory of Clinical Research for Cardiovascular Medications, Fuwai Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, National Center for Cardiovascular Diseases, Beijing, China. | Nanyang Central Hospital, Henan, China. | Dengfeng Hospital of Traditional Chinese Medicine, Henan, China.",China,Global South,China; China. Electronic address:
41904795,"Sotatercept for Combined Post- and Precapillary Pulmonary Hypertension Associated With Heart Failure: Results From the Phase 2, Randomized, Placebo-Controlled CADENCE Study.",2026,Circulation,10,Gomberg-Maitland Mardi; Tedford Ryan J; Langleben David; Rosenkranz Stephan; Miller Barry,"Department of Medicine, Section of Cardiology, George Washington University School of Medicine and Health Sciences, Washington, DC (M.G-M.). | Division of Cardiology, Department of Medicine, Medical University of South Carolina, Charleston (R.J.T.). | Department of Medicine, Section of Cardiology, Center for Pulmonary Vascular Disease, Azrieli Heart Center, Jewish General Hospital, McGill University, Montreal, Canada (D.L.).",DC (M.G-M.),Unknown,DC (M.G-M.); Charleston (R.J.T.); Canada (D.L.); Germany (S.R.); A.G.C.); Belgium (J-L.V.)
41670573,Single-Pill Low-Dose Triple Combination Therapy vs Standard-Dose Monotherapy in Patients With Mild-to-Moderate Hypertension.,2026,Journal of the American College of Cardiology,12,Sung Ki-Chul; Park Kyungil; Kim Dae-Hee; Lim Sang-Wook; Hong Soon Jun,"Division of Cardiology, Kangbuk Samsung Hospital, Seoul, Republic of Korea. | Division of Cardiology, Dong-A University Hospital, Busan, Republic of Korea. | Division of Cardiology, Asan Medical Center, Seoul, Republic of Korea.",Republic of Korea,Unknown,Republic of Korea; Italy; Republic of Korea. Electronic address:
41563174,Natriuretic Peptide Receptor-1 Agonist for Resistant Hypertension: A Randomized Phase 2 Trial.,2026,Journal of the American College of Cardiology,10,White William B; Azizi Michel; Ferdinand Keith; Cohen Debbie L; Nührenberg Thomas,"Cardiology Center, University of Connecticut School of Medicine, Farmington, Connecticut, USA. Electronic address: williambwhitemd@gmail.com. | Université Paris Cité, Inserm CIC1418, Paris, France. | Section of Cardiology, John W. Deming Department of Medicine, Tulane University, New Orleans, Louisiana, USA.",USA,Global North,USA; France; Switzerland; United Kingdom
41379039,Behavioral Economics and Medication Adherence for Hypertension: A Randomized Clinical Trial.,2026,Journal of the American College of Cardiology,17,Dodson John A; Adhikari Samrachana; Schoenthaler Antoinette M; Shimbo Daichi; Berman Adam N,"NYU Grossman School of Medicine, New York, New York, USA. Electronic address: BETTER-BP@nyulangone.org. | NYU Grossman School of Medicine, New York, New York, USA. | Columbia University Irving Medical Center, New York, New York, USA.",USA,Global North,USA
42116170,Hemodynamic effects of high frequency oscillatory ventilation versus conventional mechanical ventilation in term neonates with persistent pulmonary hypertension: a single-center randomized trial.,2026,Italian journal of pediatrics,5,El Amrousy Doaa; Koura Hassan; Abdou Noura; Awny Mostafa; Elmashad Abdelrahman,"Pediatric Department, Faculty of Medicine, Tanta University, Tanta, Egypt. doaa.moha@med.tanta.edu.eg. | Pediatric Department, Faculty of Medicine, Tanta University, Tanta, Egypt.",Egypt,Global South,Egypt
42104241,Propranolol monotherapy versus combined propranolol-gabapentin for prevention of paroxysmal sympathetic hyperactivity after moderate-severe traumatic brain injury: a randomized controlled trial.,2026,BMC anesthesiology,7,Negm Essamedin M; Gouda Ahmed M; Khatab Mohammed El Mowafy; Youssef Essam Mohamed Elsayed; Eskandr AnaSimon Alfred Foad,"Department of Anaesthesia, ICU and Pain Management, Faculty of Medicine, Zagazig University, Zagazig, Egypt. | Department of Pharmacy Practice, Faculty of Pharmacy, Zagazig University, Zagazig, Egypt. amgoda@pharmacy.zu.edu.eg. | Department of Neurosurgery, Faculty of Medicine, Zagazig University, Zagazig, Egypt.",Egypt,Global South,Egypt
42098073,"Acute hemodynamic effects of TPN171H in pulmonary arterial hypertension: a randomized, controlled, phase 2a trial.",2026,Signal transduction and targeted therapy,15,Zhou Yu-Ping; Qiu Lu-Hong; Ma Wei; Cao Yun-Shan; Li Jiang,"Department of Cardiovascular Medicine, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Southern Medical University, Guangzhou, China. | Department of Cardiology, State Key Laboratory of Complex Severe and Rare Diseases, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China. | Department of Cardiology, Peking University First Hospital, Peking University, Beijing, China.",China,Global South,China; USA
41968073,Phase 2 study of cabozantinib (XL184) with nivolumab and ipilimumab for the treatment of poorly differentiated neuroendocrine carcinomas (ETCTN10315).,2026,The oncologist,21,Mandl Adel; Chen Ruizhe; Das Satya; Strosberg Jonathan R; Kasi Anup,"Department of Oncology, Johns Hopkins University School of Medicine and Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, MD, USA. | Vanderbilt University Medical Center, Nashville, TN, USA. | H. Lee Moffitt Cancer Center & Research Institute, Tampa, FL, USA.",USA,Global North,USA
42090614,[Lifestyle pattern and therapeutic adherence in patients on hemodialysis].,2026,Revista medica del Instituto Mexicano del Seguro Social,7,Trejo-Mena Héctor Alan; Torres-Pedroza Ariadna Judith; Solís-González Andrés Jhojairo; Llanos-Sosa Ángel Jesús; Rojas-Morales Adolfo,"Instituto Mexicano del Seguro Social, Hospital General de Zona con Medicina Familiar No. 1, Servicio de Medicina Familiar. Chetumal, Quintana Roo, México. | Instituto Mexicano del Seguro Social, Hospital General de Zona con Medicina Familiar No. 1, Coordinación Clínica de Educación e Investigación en Salud. Chetumal, Quintana Roo, México. | Instituto Mexicano del Seguro Social, Hospital General de Zona con Medicina Familiar No. 1, Servicio de Hemodiálisis. Chetumal, Quintana Roo, México.",México,Unknown,México
42154956,Tai Chi Intervention Improves Hypertension by Reshaping the Neuro-Endocrine-Immune Network via the Acetylcholine-Cortisol-TNF-α Pathway.,2026,Scandinavian journal of medicine & science in sports,7,Fang Hui; Li Cuihan; Zhou Qingshan; Cui Meize; Li Lujia,"College of Physical Education and Sports, Beijing Normal University, Beijing, China. | Boshan District Traditional Chinese Medicine Hospital, Zibo, Shandong, China.",China,Global South,China
42130176,Antihypertensive Combinations Modify Cardiovascular Risk Factor Importance: A Machine Learning Analysis of the ACCOMPLISH Trial.,2026,"Journal of clinical hypertension (Greenwich, Conn.)",4,Kaciroti Niko; Levy Phillip D; Jamerson Kenneth A; Brook Robert D,"Departments of Pediatrics and Biostatistics, University of Michigan, Ann Arbor, Michigan, USA. | Integrative Biosciences Center, Wayne State University, Detroit, Michigan, USA. | Department of Emergency Medicine, Wayne State University, Detroit, Michigan, USA.",USA,Global North,USA
42130156,Low-Dose Telmisartan/Amlodipine in Essential Hypertension: A Phase III Trial.,2026,"Journal of clinical hypertension (Greenwich, Conn.)",34,Ahn Hyo-Suk; Ahn Jeong-Cheon; Cho Jin-Man; Lim Kyung Hee; Han Seung Hwan,"Division of Cardiology, Department of Internal Medicine, College of Medicine, Uijeongbu St. Mary's Hospital, The Catholic University of Korea, Seoul, Republic of Korea. | Department of Cardiology, Korea University Ansan Hospital, Ansan, Republic of Korea. | Division of Cardiology, Department of Internal Medicine, Kyung Hee University Hospital at Gangdong, Kyung Hee University, Seoul, Republic of Korea.",Republic of Korea,Unknown,Republic of Korea
42128581,Leveraging Interleukin-1 Blockade as a Therapeutic Strategy for Cardiac Sarcoidosis: Rationale and Design for the RandomizEd PhAse II TrIal of Rilonacept in Subjects With Cardiac Sarcoidosis (REPAIR-CS).,2026,Journal of cardiac failure,8,Rosenbaum Andrew N; Wagle Anjali; Meuth Courtney L; Wang Sheldon; Paolini John F,"Department of Cardiovascular Medicine, Mayo Clinic, Rochester, Minnesota. Electronic address: Rosenbaum.Andrew@mayo.edu. | Division of Cardiology, Johns Hopkins University School of Medicine, Baltimore, Maryland. | Kiniksa Pharmaceuticals, Lexington, Massachusetts.",Minnesota. Electronic address:,Unknown,Minnesota. Electronic address:; Maryland; Massachusetts; Minnesota
42067967,Population Pharmacokinetic Modeling and Exposure-Response Analyses of Nemtabrutinib in Patients With Hematologic Malignancies.,2026,CPT: pharmacometrics & systems pharmacology,4,Kemal Chiara C; Zweers Thijs J; Krekels Elke H J; Chatterjee Manash S,"Merck & co., Inc., Rahway, New Jersey, USA. | Certara Inc., Department of Integrated Drug Development, Radnor, Pennsylvania, USA.",USA,Global North,USA
42067280,"Incidence, risk factors, and cardiovascular impact of hypertension in people with HIV: a secondary analysis of the REPRIEVE trial.",2026,The lancet. HIV,20,Martínez Esteban; Watanabe Maya; Hoffman Risa; Zanni Markella V; Pozniak Anton,"Department of Infectious Diseases, Hospital Clínic, IDIBAPS, University of Barcelona, Barcelona, Spain; CIBER de Enfermedades Infecciosas, Instituto de Salud Carlos III, Madrid, Spain; Reial Acadèmia de Medicina de Catalunya, Barcelona, Spain. Electronic address: estebanm@clinic.cat. | Center for Biostatistics in AIDS Research, Harvard T H Chan School of Public Health, Boston, MA, USA. | Division of Infectious Diseases, David Geffen School of Medicine, University of California Los Angeles, Los Angeles, CA, USA.",Spain. Electronic address:,Global North,Spain. Electronic address:; USA; United Kingdom
42043864,A randomized controlled trial of L-taurine for fatigue in decompensated cirrhosis.,2026,Hepatology communications,8,Sasidharan Swarup; Philips Cyriac Abby; Tharakan Ajit; Ahamed Rizwan; Oommen Tharun Tom,"Department of Gastroenterology and Advanced GI Endoscopy, Center of Excellence in Gastrointestinal Sciences, Rajagiri Hospital, Aluva, Kerala, India. | Department of Clinical, Translational and Transplant Hepatology, The Liver Institute, Center of Excellence in Gastrointestinal Sciences, Rajagiri Hospital, Aluva, Kerala, India.",India,Global South,India
41974026,Seladelpar in patients with primary biliary cholangitis and compensated cirrhosis: Efficacy and safety from RESPONSE and ASSURE studies.,2026,Hepatology communications,20,Gordon Stuart C; Villamil Alejandra; Jacobson Ira M; Lawitz Eric J; Younes Ziad,"Division of Hepatology, Henry Ford Health, Wayne State University School of Medicine, Detroit, Michigan, USA. | College of Medicine, Michigan State University, East Lansing, Michigan, USA. | The Liver Autoimmunity Unit, Hospital Italiano de Buenos Aires, Buenos Aires, Argentina.",USA,Global North,USA; Argentina; The Netherlands; Germany; Czech Republic; Greece; Italy; Republic of Korea; Belgium
41973984,Rodatristat ethyl decreases activity in pulmonary arterial hypertension: results from the ELEVATE-2 trial.,2026,Annals of the American Thoracic Society,8,Lachant Daniel J; Sahay Sandeep; Block Robert; Ossip Deborah; Denning Jill,"Division of Pulmonary and Critical Care Medicine, University of Rochester Medical Center, Rochester, NY, United States. | Division of Pulmonary, Critical Care and Sleep Medicine, Houston Methodist Hospital, Houston, TX, United States. | Department of Public Health Sciences, University of Rochester Medical Center, Rochester, NY, United States.",USA,Global North,USA
41969015,"Pain and health-related quality-of-life outcomes with darolutamide in metastatic hormone-sensitive prostate cancer (ARANOTE): secondary and exploratory analyses of a multicentre, randomised, placebo-controlled, phase 3 trial.",2026,The Lancet. Oncology,12,Morgans Alicia K; Haresh Kunhi Parambath; Jievaltas Mindaugas; Olmos David; Shore Neal D,"Dana-Farber Cancer Institute and Harvard Medical School, Boston, MA, USA. | All India Institute of Medical Sciences, New Delhi, India. | Lithuanian University of Health Sciences, Medical Academy, Kaunas, Lithuania.",USA,Global North,USA; India; Lithuania; Spain; Latvia; China; Ireland; Switzerland; Canada. Electronic address:
41962959,The urine metabolomic signature of distal diuretics and diuretic-induced hyponatremia in patients with chronic kidney disease.,2026,American journal of physiology. Renal physiology,5,Rudolphi Crissy F; Musterd-Bhaggoe Usha; Ruijter George J G; Hoorn Ewout J; Imenez Silva Pedro H,"Division of Nephrology and Transplantation, Department of Internal Medicine, Erasmus MC, University Medical Center Rotterdam, Rotterdam, The Netherlands. | Department of Clinical Genetics, Center for Lysosomal and Metabolic Diseases, Erasmus MC, University Medical Center Rotterdam, Rotterdam, The Netherlands.",The Netherlands,Global North,The Netherlands
41955315,Acute cardiovascular responses to slow and deep breathing in normotensive men and women.,2026,Experimental physiology,3,Felton Malika; Mohan Vikram; Hundley Vanora A,"School of Allied Health and Exercise Science, Bournemouth University, Bournemouth, UK. | School of Health and Care, Bournemouth University, Bournemouth, UK.",United Kingdom,Global North,United Kingdom
41933193,Assessing and Optimizing Blood Pressure Measurement Technique in Clinical Practice The BPRIGHT Project (Blood Pressure Reliability through Implementation of Guidelines and Holistic Training).,2026,Journal of human hypertension,4,Ilyas Farwa; Suchal Zafar Aleem; Rehman Abdul; Mahmud Azra,"Hypertension Clinic & Department of Clinical Research, Shalamar Institute of Health Sciences, Lahore, Pakistan. | Hypertension Clinic & Department of Clinical Research, Shalamar Institute of Health Sciences, Lahore, Pakistan. azramahmud@gmail.com.",Pakistan,Global South,Pakistan
41911941,"Risk of obesity, diabetes, hypertension, and major adverse cardiovascular events after a switch to an integrase inhibitor: a target trial emulation in REPRIEVE.",2026,The lancet. HIV,28,Kileel Emma M; Malvestutto Carlos D; Zanni Markella V; Davies-Smith Emma; Fichtenbaum Carl J,"Department of Epidemiology, Boston University School of Public Health, Boston, MA, USA; Department of Global Health, Boston University School of Public Health, Boston, MA, USA. | Division of Infectious Diseases, Ohio State University Medical Center, Columbus, OH, USA. | Metabolism Unit, Massachusetts General Hospital and Harvard Medical School, Boston, MA, USA.",USA,Global North,USA; Spain; Canada; Brazil
